terminal_id,tanggal,jumlah_kontainer,NON MITA,MITA,HIJAU,MERAH,KUNING,NON,BORDER,POST-BORDER,BORDER_POST-BORDER,lartas N,lartas Y,lartas NA,KARANTINA TUMBUHAN,KARANTINA HEWAN,KARANTINA IKAN,PRENO,NON_PRENO,avg_dt
JICT,2018-04-23,1933,1208,725,1695,137,101,663,474,619,177,1160,773,1590,256,62,25,735,1198,3.12
JICT,2018-04-24,2919,2492,427,2508,319,92,1282,449,1057,131,2223,696,2617,260,23,19,1546,1373,2.80
JICT,2018-04-25,2830,1890,940,2596,107,127,1122,1109,518,81,1550,1280,2589,202,37,2,1241,1589,2.80
JICT,2018-04-26,2701,2226,475,2378,227,96,971,770,779,181,1675,1026,2395,283,21,2,1295,1406,3.16
JICT,2018-04-27,1922,1664,258,1614,228,80,548,349,883,142,1362,560,1564,355,3,0,801,1121,3.40
JICT,2018-04-28,3531,2663,868,3203,236,92,1181,901,1330,119,2453,1078,3291,195,36,9,2480,1051,2.98
JICT,2018-04-29,517,437,80,471,27,19,167,71,227,52,389,128,460,50,7,0,281,236,2.68
JICT,2018-04-30,1701,1412,289,1413,180,108,833,144,513,211,1295,406,1444,202,52,3,373,1328,4.01
JICT,2018-05-01,561,394,167,468,75,18,248,44,239,30,474,87,529,32,0,0,143,418,3.24
JICT,2018-05-02,2365,1185,1180,2135,93,137,530,1338,394,103,903,1462,1964,245,152,4,689,1676,3.05
JICT,2018-05-03,1664,1102,562,1431,187,46,570,437,545,112,1037,627,1538,115,11,0,889,775,3.28
JICT,2018-05-04,1412,1166,246,1272,98,42,374,297,570,171,906,506,1106,291,12,3,658,754,3.10
JICT,2018-05-05,2121,1527,594,1737,324,60,694,775,527,125,1160,961,1774,271,64,12,806,1315,4.55
JICT,2018-05-06,1604,1212,392,1370,188,46,467,495,505,137,935,669,1281,311,3,9,516,1088,4.29
JICT,2018-05-07,2105,1599,506,1897,135,73,809,531,610,155,1369,736,1689,328,60,28,555,1550,3.60
JICT,2018-05-08,2071,1664,407,1869,141,61,918,244,901,8,1740,331,2021,33,14,3,1244,827,2.92
JICT,2018-05-09,2186,1792,394,2045,78,63,581,908,610,87,1133,1053,1755,331,92,8,1120,1066,3.46
JICT,2018-05-10,2953,2173,780,2677,182,94,831,949,983,190,1710,1243,2676,185,82,10,1725,1228,3.14
JICT,2018-05-11,1301,1042,259,1100,148,53,502,314,438,47,895,406,1162,104,18,17,451,850,4.24
